Date,Ticker,compound,neg,neu,pos
2021-04-11,AMC,0.296,0.0,0.833,0.167
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.4995,0.0,0.607,0.393
2021-04-11,AMC,-0.1027,0.164,0.725,0.111
2021-04-11,AMC,0.6249,0.0,0.638,0.362
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8885,0.0,0.656,0.344
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.0516,0.07,0.93,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,-0.8374,0.295,0.705,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.3612,0.0,0.815,0.185
2021-04-11,AMC,0.5859,0.0,0.826,0.174
2021-04-11,AMC,-0.0258,0.193,0.617,0.189
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,0.8176,0.0,0.681,0.319
2021-04-11,AMC,0.7351,0.0,0.772,0.228
2021-04-11,AMC,-0.0772,0.064,0.936,0.0
2021-04-11,AMC,-0.7184,0.304,0.588,0.108
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.8062,0.0,0.571,0.429
2021-04-11,AMC,0.2263,0.0,0.826,0.174
2021-04-11,AMC,-0.2263,0.091,0.909,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.1531,0.088,0.802,0.111
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4995,0.272,0.57,0.157
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.6597,0.0,0.782,0.218
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0516,0.173,0.641,0.186
2021-04-11,AMC,-0.0258,0.193,0.617,0.189
2021-04-11,AMC,0.3716,0.0,0.892,0.108
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.4767,0.233,0.645,0.122
2021-04-11,AMC,0.6369,0.0,0.625,0.375
2021-04-11,AMC,0.2263,0.0,0.888,0.112
2021-04-11,AMC,0.7964,0.0,0.664,0.336
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8885,0.0,0.656,0.344
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.34,0.0,0.893,0.107
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.5859,0.487,0.513,0.0
2021-04-11,AMC,0.7964,0.0,0.608,0.392
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.2292,0.113,0.81,0.076
2021-04-11,AMC,-0.2263,0.073,0.927,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8779,0.0,0.59,0.41
2021-04-11,AMC,0.34,0.0,0.893,0.107
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.7964,0.0,0.701,0.299
